dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,popData2018
28/9/2020,28,9,2020,556,3,Austria,AT,AUT,8858775,Europe,8858775
27/9/2020,27,9,2020,662,0,Austria,AT,AUT,8858775,Europe,8858775
26/9/2020,26,9,2020,714,1,Austria,AT,AUT,8858775,Europe,8858775
25/9/2020,25,9,2020,684,3,Austria,AT,AUT,8858775,Europe,8858775
24/9/2020,24,9,2020,832,6,Austria,AT,AUT,8858775,Europe,8858775
23/9/2020,23,9,2020,681,6,Austria,AT,AUT,8858775,Europe,8858775
22/9/2020,22,9,2020,645,4,Austria,AT,AUT,8858775,Europe,8858775
21/9/2020,21,9,2020,563,1,Austria,AT,AUT,8858775,Europe,8858775
20/9/2020,20,9,2020,621,1,Austria,AT,AUT,8858775,Europe,8858775
19/9/2020,19,9,2020,813,2,Austria,AT,AUT,8858775,Europe,8858775
18/9/2020,18,9,2020,808,5,Austria,AT,AUT,8858775,Europe,8858775
17/9/2020,17,9,2020,780,0,Austria,AT,AUT,8858775,Europe,8858775
16/9/2020,16,9,2020,768,1,Austria,AT,AUT,8858775,Europe,8858775
15/9/2020,15,9,2020,764,0,Austria,AT,AUT,8858775,Europe,8858775
14/9/2020,14,9,2020,382,1,Austria,AT,AUT,8858775,Europe,8858775
13/9/2020,13,9,2020,463,2,Austria,AT,AUT,8858775,Europe,8858775
12/9/2020,12,9,2020,869,4,Austria,AT,AUT,8858775,Europe,8858775
11/9/2020,11,9,2020,580,2,Austria,AT,AUT,8858775,Europe,8858775
10/9/2020,10,9,2020,664,1,Austria,AT,AUT,8858775,Europe,8858775
9/9/2020,9,9,2020,502,0,Austria,AT,AUT,8858775,Europe,8858775
8/9/2020,8,9,2020,520,1,Austria,AT,AUT,8858775,Europe,8858775
7/9/2020,7,9,2020,290,10,Austria,AT,AUT,8858775,Europe,8858775
6/9/2020,6,9,2020,184,1,Austria,AT,AUT,8858775,Europe,8858775
5/9/2020,5,9,2020,358,0,Austria,AT,AUT,8858775,Europe,8858775
4/9/2020,4,9,2020,357,0,Austria,AT,AUT,8858775,Europe,8858775
3/9/2020,3,9,2020,403,1,Austria,AT,AUT,8858775,Europe,8858775
2/9/2020,2,9,2020,327,0,Austria,AT,AUT,8858775,Europe,8858775
1/9/2020,1,9,2020,204,1,Austria,AT,AUT,8858775,Europe,8858775
31/8/2020,31,8,2020,272,0,Austria,AT,AUT,8858775,Europe,8858775
30/8/2020,30,8,2020,181,0,Austria,AT,AUT,8858775,Europe,8858775
29/8/2020,29,8,2020,395,0,Austria,AT,AUT,8858775,Europe,8858775
28/8/2020,28,8,2020,229,0,Austria,AT,AUT,8858775,Europe,8858775
27/8/2020,27,8,2020,328,0,Austria,AT,AUT,8858775,Europe,8858775
26/8/2020,26,8,2020,327,0,Austria,AT,AUT,8858775,Europe,8858775
