mask wearing,public events,border closure,schools + universities,self-isolation if ill,lockdown,social distancing encouraged
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,1,0,0
0,0,0,0,1,0,0
0,0,0,0,1,0,0
0,0,0,0,1,0,0
0,0,0,0,1,0,0
0,0,0,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0.931490412948,1,0,0
0,1,0,0.931490412948,1,0,0
0,1,1,0.931490412948,1,0,0
0,1,1,0.931490412948,1,0,0
0,1,1,0.931490412948,1,0,0
0,1,1,0.931490412948,1,0,0
0,1,1,0.931490412948,1,0,0
0,1,1,0.931490412948,1,0.16944547523,0
0,1,1,0.931490412948,1,1,1
0,1,1,0.931490412948,1,1,1
0,1,1,0.931490412948,1,1,1
0,1,1,0.931490412948,1,1,1
0,1,1,0.931490412948,1,1,1
0,1,1,0.931490412948,1,1,1
0,1,1,0.931490412948,1,1,1
0,1,1,0.931490412948,1,1,1
0,1,1,0.931490412948,1,1,1
0.00134117147075,1,1,0.931490412948,1,1,1
0.00134117147075,1,1,0.931490412948,1,1,1
0.00134117147075,1,1,0.931490412948,1,1,1
0.00134117147075,1,1,0.931490412948,1,1,1
0.00134117147075,1,1,0.931490412948,1,1,1
0.00134117147075,1,1,0.931490412948,1,1,1
0.00134117147075,1,1,0.931490412948,1,1,1
0.00134117147075,1,1,0.931490412948,1,1,1
0.00134117147075,1,1,0.931490412948,1,1,1
0.00134117147075,1,1,0.931490412948,1,1,1
0.00134117147075,1,1,0.931490412948,1,1,1
0.00134117147075,1,1,0.931490412948,1,1,1
0.00134117147075,1,1,0.931490412948,1,1,1
0.00134117147075,1,1,0.931490412948,1,1,1
0.00134117147075,1,1,0.931490412948,1,1,1
0.00134117147075,1,1,0.931490412948,1,1,1
0.00134117147075,1,1,0.931490412948,1,1,1
0.00134117147075,1,1,0.931490412948,1,1,1
0.00134117147075,1,1,0.931490412948,1,1,1
0.00134117147075,1,1,0.931490412948,1,1,1
0.223585689737,1,1,0.931490412948,1,0,1
0.223585689737,1,1,0.931490412948,1,0,1
0.223585689737,1,1,0.931490412948,1,0,1
0.250185809398,1,1,0.931490412948,1,0,1
0.274659686307,1,1,0.931490412948,1,0,1
0.274659686307,1,1,0.931490412948,1,0,1
0.274659686307,1,1,0.931490412948,1,0,1
0.945718745852,1,1,0.931490412948,1,0,1
0.945718745852,1,1,0.931490412948,1,0,1
0.980610813547,1,1,0.931490412948,1,0,1
0.980610813547,1,1,0.931490412948,1,0,1
0.980610813547,1,1,0.931490412948,1,0,1
0.980610813547,1,1,0.931490412948,1,0,1
0.980610813547,1,1,0.931490412948,1,0,1
0.980610813547,1,1,0,1,0,1
0.980610813547,1,1,0,1,0,1
0.980610813547,1,1,0,1,0,1
0.980610813547,1,1,0,1,0,1
0.980610813547,1,1,0,1,0,1
0.980610813547,1,1,0,1,0,1
0.980610813547,1,1,0,1,0,1
0.980610813547,1,1,0,1,0,1
0.980610813547,1,1,0,1,0,1
0.980610813547,1,1,0,1,0,1
0.980610813547,1,1,0,1,0,1
0.980610813547,1,0,0,1,0,1
0.980610813547,1,0,0,1,0,1
0.980610813547,1,0,0,1,0,1
0.980610813547,1,0,0,1,0,1
0.980610813547,1,0,0,1,0,1
0.980610813547,1,0,0,1,0,1
0.980610813547,1,0,0,1,0,1
0.980610813547,1,0,0,1,0,1
0.980610813547,1,0,0,1,0,1
0.980610813547,1,0,0,1,0,1
0.980610813547,1,0,0,1,0,1
0.980610813547,1,0,0,1,0,1
0.980610813547,1,0,0,1,0,1
0.980610813547,1,0,0,1,0,1
0.980610813547,1,0,0,1,0,1
0.980610813547,1,0,0,1,0,1
0.980610813547,1,0,0,1,0,1
0.980610813547,1,0,0,1,0,1
0.980610813547,1,0,0,1,0,1
0.980610813547,1,0,0,1,0,1
0.980610813547,1,0,0,1,0,1
0.980610813547,1,0,0,1,0,1
0.980610813547,1,0,0,1,0,1
0.980610813547,1,0,0,1,0,1
0.980610813547,1,0,0,1,0,1
0.980610813547,1,0,0,1,0,1
0.980610813547,1,0,0,1,0,1
0.980610813547,1,0,0,1,0,1
0.980610813547,1,0,0,1,0,1
0.980610813547,1,0,0,1,0,1
0.980610813547,1,0,0,1,0,1
0.980610813547,1,0,0,1,0,1
0.980610813547,1,0,0,1,0,1
0.980610813547,1,0,0.00120687725623,1,0,1
0.980610813547,1,0,0.00120687725623,1,0,1
0.980610813547,1,0,0.00120687725623,1,0,1
0.980610813547,1,0,0.00120687725623,1,0,1
0.980610813547,1,0,0.00120687725623,1,0,1
0.980610813547,1,0,0.00120687725623,1,0,1
0.980610813547,1,0,0.0045535724363,1,0.0045535724363,1
0.980610813547,1,0,0.0045535724363,1,0.0045535724363,1
0.980610813547,1,0,0.0045535724363,1,0.0045535724363,1
0.980610813547,1,0,0.0045535724363,1,0.0045535724363,1
0.980610813547,1,0,0.0045535724363,1,0.0045535724363,1
0.980610813547,1,0,0.0045535724363,1,0.0045535724363,1
0.980610813547,1,0,0.0045535724363,1,0.0045535724363,1
0.980610813547,1,0,0,1,0.00120687725623,1
0.980610813547,1,0,0,1,0.00120687725623,1
0.980610813547,1,0,0,1,0.00120687725623,1
0.980610813547,1,0,0,1,0.00120687725623,1
0.980610813547,1,0,0,1,0.00120687725623,1
0.980610813547,1,0,0,1,0.00120687725623,1
0.980610813547,1,0,0,1,0.00120687725623,1
0.980610813547,1,0,0,1,0,1
